municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial,crecimiento_total,log_poblacion,peso_agro,peso_industria,region_interior,valor_ajustado,residuo,residuo_estandar
ADOLFO ALSINA,Interior,007,529207806.6069914,322296233.92012495,151429273.28047964,285959044.9287896,22727720.10212082,598774385.057956,372329773.9054062,163484150.9366361,334154132.6046148,23624529.22091556,17552,I,06007,34114.31090804216,55.80635059602152,3.945480937470115,27.30313036366983,13.14541803473946,15.524084590352706,7.96073136653586,Resto,13.14541803473946,9.772923182515012,54.03530359127014,4.2946683360246105,1,1.1923391294541954,11.953078905285265,2.1265404612413152
ADOLFO GONZALES CHAVES,Interior,014,389736875.75140744,251491505.954717,97813337.753639,231006275.43631336,12631680.4770418,333390903.18181515,195585327.63302216,99570696.87662388,170218977.7803492,14849274.858833548,12914,I,06014,25816.238437495365,51.056875324375625,4.4540132070536655,29.86605091091009,-14.457439384189144,-22.22984752883113,1.7966456961228594,Resto,-14.457439384189144,9.466067273186413,59.27236805368658,3.241079113360287,1,0.7774224550119779,-15.234861839201121,-2.7205168679570395
ALBERTI,Interior,021,310807157.4099791,173475661.20891258,102473910.11567308,142627000.43125796,16642035.300455743,297106996.8858645,161776699.7928138,99776276.866246745,127828619.33765356,16986363.701595124,12982,I,06021,22886.072784306307,43.02443923485239,5.717254685900427,33.58260758314501,-4.407929546501086,-6.743863280054021,-2.632507382982881,Resto,-4.407929546501086,9.471319061593414,45.88922649651911,5.354456904769278,1,3.0111031025691863,-7.419032649070273,-1.3140992012997055
ALMIRANTE BROWN,AMBA,028,6137215753.169094,1688464500.3846157,3230131251.326247,13305307.642826242,1436323208.0527956,6512979147.14841,1835859469.713443,3390111551.417865,12745526.311489984,1521623826.6724236,584827,C,06028,11136.591072485384,0.1956942594706507,23.362946392030736,52.0516260658099,6.122701385971018,8.729527289158419,4.952749211844933,Resto,6.122701385971018,13.279071355982564,0.21679713045701118,23.403498684417553,0,4.8950607216725555,1.227640664298463,0.2198682437061791
ARRECIFES,Interior,077,628681596.1004087,332810402.7082448,202377084.96075025,190732994.5825222,124657788.2551562,673295941.2278117,354418451.96051687,218259491.566868,199427488.63687187,135070059.63097087,32215,I,06077,20900.07577922743,29.61958871654552,20.06102389161284,32.41657615948991,7.0964929471670946,6.492600314304049,7.847927352643729,Agroindustrial,7.0964929471670946,10.380187461572742,30.338568166398122,19.828445596051253,1,3.5127240462541005,3.583768900912994,0.6347263761587002
AVELLANEDA,AMBA,035,6125439088.524248,2110727918.8719032,2950858010.639908,73740.77852261053,1688368390.246352,6414182672.598868,2185999200.8461885,3108341816.375388,54159.01667604208,1783660244.4471247,367554,C,06035,17450.994065086677,8.443634901046276e-4,27.808067457555424,48.46045045854556,4.7138430388699675,3.566129073353744,5.336881854960184,Resto,4.7138430388699675,12.814625525616094,0.0012038447767893207,27.563222257967414,0,5.341673337451186,-0.6278302985812184,-0.1121556593734458
AYACUCHO,Interior,042,437693421.0616385,232645275.82288063,152353624.71591678,198576650.51242605,19635481.698810577,451048321.7863316,238160136.12573352,156642295.7035797,200044633.52572328,22120974.28803658,21977,I,06042,20523.652991142175,44.35104264072341,4.904346878052596,34.72849540448651,3.05119978552577,2.370501736322162,2.8149451617312673,Resto,3.05119978552577,9.997751730926211,45.368890862186696,4.486126762240138,1,2.3919909887077626,0.6592087968180077,0.11673362703485438
AZUL,Interior,049,1523997115.37208,703503098.5996914,631685975.3532956,384279190.46305376,154447923.83403334,1492293658.750753,666284911.589864,628515039.3125867,341378141.9047857,173142765.23630413,75905,I,06049,19660.017900675222,22.87606999486712,11.602459356508122,42.11738323935095,-2.080283243422468,-5.290408398187502,-0.5019798071241691,Resto,-2.080283243422468,11.237237837366816,25.21521770526665,10.134397386725057,1,3.800142143351747,-5.880425386774215,-1.044171325879108
BAHIA BLANCA,Interior,056,5346461207.9722,1581164726.680351,2900726839.716339,52447881.69278185,1215050379.883706,5716704740.342797,1701271422.0000498,3090105714.773391,44701350.93170829,1331768086.5017774,336557,I,06056,16985.844122519506,0.781942621878838,23.296079594656817,54.053967366313465,6.925020456868189,7.596089976776951,6.528669727328443,Resto,6.925020456868189,12.726522804509438,0.9809831148606467,22.726254481598474,1,5.11999641557798,1.805024041290209,0.327732067711898
BALCARCE,Interior,063,1074259003.5408368,571781578.0173563,359755764.62240547,373579661.21073246,143800266.41422454,1096786966.1709006,562694548.9469421,384625555.87551576,345851729.9532562,149887581.40292633,48982,I,06063,22391.632970701496,31.533172860422727,13.666061507478831,35.068392289372234,2.0970699389821212,-1.589248310853826,6.912965322241123,Agroindustrial,2.0970699389821212,10.799208162665574,34.77556715646658,13.385995922794061,1,2.5298977225352193,-0.43282778355309814,-0.07662985931862452
BARADERO,Interior,070,630374527.2297617,301858433.41060674,224037078.95085916,125727613.35390308,147323309.26330394,681851671.5627323,332104987.5539071,237559167.463093,143922243.0638986,156737524.07992056,40002,I,06070,17045.439517092454,21.10755888213106,22.98704111419051,34.84029993189463,8.166120632950005,10.020112342581829,6.03564757028448,Resto,8.166120632950005,10.596684731846114,19.9449070231985,23.370758636255438,1,4.814725082150985,3.35139555079902,0.5946265586398084
BENITO JUAREZ,Interior,084,736835667.4906516,417125769.9134728,226066625.2230766,229392738.03920883,125323451.78941108,742501052.0074983,406453245.01296055,239675499.810931,219643268.879179,129638581.87104918,22292,I,06084,33307.960344854575,29.581543121767982,17.459716928419923,32.27948285903717,0.7688803306903618,-2.5585868029026577,6.0198512604085215,Agroindustrial,0.7688803306903618,10.011983148689428,31.13214359185716,17.00833134424795,1,4.091075897029391,-3.3221955663390297,-0.5878148358477102
BERAZATEGUI,AMBA,091,3855424396.818001,1134777445.879397,1971553375.3693275,18650784.13632699,887435390.4907416,4056686519.318831,1216368572.812598,2048894454.688584,17874071.132364042,944303714.8464632,358712,C,06091,11309.034878450766,0.4406076497960538,23.27770978480792,50.50660052067861,5.220232632935,7.190055391872188,3.9228498850439766,Resto,5.220232632935,12.790275117100746,0.48375437349309847,23.017839261046568,0,5.585407575989071,-0.3651749430540706,-0.06522033557538635
BERISSO,Interior,098,954601369.97142,222475359.7240487,543314470.9092873,1784843.12894279,184187744.48710808,1010784799.32518,243787514.8438006,568624193.9898981,1751144.4814928295,191587288.8856571,100930,I,06098,10014.711179284455,0.17324602454072602,18.954310453972457,56.255712825274266,5.885538311708277,9.579557550187497,4.658392963149422,Resto,5.885538311708277,11.522182486232905,0.18697261339528842,19.29472869839088,1,7.239370486502218,-1.3538321747939408,-0.24270866773745142
BOLIVAR,Interior,105,790446662.9593714,418097360.0782468,277912865.5268322,331173068.26080585,42617352.649324864,841757304.4548637,440461720.235701,299077466.32450324,363098389.3646223,44362608.28867879,37594,I,06105,22390.735342205237,43.13575747344076,5.270237401433513,35.530130209941085,6.491347727801029,5.3490794950890646,7.615552722811099,Resto,6.491347727801029,10.53459974217654,41.896953175932126,5.391553237731282,1,2.167437783690411,4.323909944110619,0.766871754484905
BRAGADO,Interior,112,885496630.0109136,451187060.2552288,312202133.05693865,278912506.50714815,125703726.98562393,911663873.1676452,450342816.9564003,331324109.9224835,262556667.01913,140803951.5105714,46504,I,06112,19603.988327190033,28.799722655111577,15.44472207956836,36.34279252190534,2.9550923481672764,-0.18711602641063513,6.124870665780312,Agroindustrial,2.9550923481672764,10.747293609381186,31.497861996799532,14.195844763867102,1,3.1356397399859723,-0.18054739181869606,-0.03191986596508049
