Variable,Media,Mediana,Desvio_Estandar,Minimo,Percentil_25,Percentil_75,Maximo,IQR,Coeficiente_Variacion
PBG2021,1823554802.3881757,697447466.3771745,2538834030.760155,43231583.43556036,385415345.0951444,2237475724.562718,18191369230.548576,1852060379.4675736,1.3922444378612755
PBG2022,1909512176.926011,731654193.8666643,2656361850.8966727,52877146.99650717,388275010.7779577,2384817015.029189,18812000795.189453,1996542004.2512314,1.3911206657885586
PBG_per_capita,19974.87719233933,18615.90970755035,8178.20945224038,9020.803905247209,14645.435013872959,22815.424503202856,64096.299826625785,8169.989489329897,0.409424767596411
Peso_Agro,23.38866041711036,24.837562823891577,20.060848238658455,0,0.8110312395707278,37.26563260859385,63.579474612014735,36.454601369023116,0.8577168542745018
Peso_Industria,14.515440204085243,13.10458032286519,11.601335606541108,0.6335962231222931,4.395546988214976,22.886879917844517,62.08650101538185,18.491332929629543,0.799241045633326
Peso_Servicios,40.56300376249304,40.128056366354095,10.634915717719137,16.499039176165528,32.7441370600131,48.97754516922255,69.15911365569588,16.23340810920945,0.26218264751765774
Variacion_Bienes,4.090992986865687,4.3794379384027025,10.5340936560017,-31.303007353241817,-1.437447918013313,9.72257900308859,49.58176597802329,11.160026921101903,2.574947864692477
Variacion_Servicios,5.3803794658814565,5.360511142370363,3.5470234662087163,-8.29808788763499,3.9731567986565928,7.078322394456173,19.274295936731857,3.10516559579958,0.6592515432603627
Variacion_Total,4.427317844060368,4.663803174853648,6.041826481351849,-20.29980496018347,1.4520261020041523,8.131907794539671,22.31138162062507,6.679881692535519,1.3646696926125341
agro_2021,143084801.89089543,93803148.48945738,147273196.9567397,0,18745516.85117539,230199506.73776108,670454621.592727,211453989.88658568,1.0292721170277608
agro_2022,139514367.51640674,100430547.16718324,142556778.38766167,0,19793012.478946757,205054782.8320477,657913727.8005444,185261770.35310096,1.0218071509437703
bienes_2021,676740048.1558181,327394129.2735075,820076876.3512022,20616990.74453132,186064270.8926674,800233931.07533,5136050382.895181,614169660.1826626,1.2118048556251264
bienes_2022,702172334.1390195,333204571.01581985,853969339.3303564,26906342.169804063,188290557.14478463,859212142.884026,5422626606.391589,670921585.7392414,1.2161819795669753
industria_2021,424597192.52053785,94994845.32547244,748845828.9614073,281012.25489226275,19326479.876805127,487154365.56749904,4847013441.457022,467827885.6906939,1.763661753192552
industria_2022,445914908.3288988,98763631.49272132,778481300.0169382,389530.8983970941,21256933.636419065,511422104.9619505,5118462311.261929,490165171.3255314,1.745806846724094
pbg_per_capita,19974.87719233933,18615.90970755035,8178.20945224038,9020.803905247209,14645.435013872959,22815.424503202856,64096.299826625785,8169.989489329897,0.409424767596411
poblacion,129807.37777777777,39425,225438.53451088598,2542,17382.5,120545.5,1841247,103163,1.736715881410245
servicios_2021,831683242.8829781,266313082.25650173,1314051361.097979,17444864.67883363,126481484.94723465,869325693.3689289,9232924764.553411,742844208.4216943,1.5799901853774305
servicios_2022,875645115.681514,285877034.8326074,1368728383.7825472,20056313.166115537,136161204.19694012,915204673.7174973,9390682827.781126,779043469.5205572,1.5631085690659816
variacion_pbg,4.427317844060368,4.663803174853648,6.041826481351849,-20.29980496018347,1.4520261020041523,8.131907794539671,22.31138162062507,6.679881692535519,1.3646696926125341
