municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial,crecimiento_total,log_poblacion,peso_agro,peso_industria,region_interior,valor_ajustado,residuo,residuo_estandar,distancia_cook
TORDILLO,Interior,812,43231583.43556036,20616990.74453132,17444864.67883363,16132025.581933834,281012.25489226275,52877146.99650717,26906342.169804063,20056313.166115537,18994334.733218715,389530.8983970941,2542,I,06812,20801.39535661179,35.92163309127362,0.7366715500418826,37.930021389846104,22.31138162062507,30.50567128445261,14.969726251017878,Resto,22.31138162062507,7.8407064517494,37.31537061551244,0.6500161052651027,1,7.216841257498336,15.094540363126734,2.757743712575582,0.12479885872358347
CORONEL DORREGO,Interior,189,617361541.5406334,389306413.319905,170973978.6675545,370458436.39196086,6513819.592292901,492038352.7087028,267441798.13173315,174428545.8381715,248493568.95214495,6715230.891175635,15968,I,06189,30814.02509448289,50.50288612344381,1.3647779394040844,35.45019303432977,-20.29980496018347,-31.303007353241817,2.0205221856210933,Resto,-20.29980496018347,9.678341998551245,60.00672401255789,1.0551061499615904,1,0.4787384690855845,-20.778543429269053,-3.715046147732674,0.10014404532502268
RIVADAVIA,Interior,679,619619994.1750959,393487530.06940746,163347833.8911879,356205889.61044884,19412557.844048407,731654193.8666643,484862983.2128842,172254061.06203577,445850836.5598923,21315047.67211216,19849,I,06679,36861.01032125872,60.93737182092113,2.9132680234450468,23.54309761442126,18.08111435150188,23.221943812897692,5.452308095362093,Resto,18.08111435150188,9.895908907012577,57.487797837232165,3.132977958513503,1,0.4746468641764743,17.606467487325407,3.1440596492217545,0.06672659190852756
SAN CAYETANO,Interior,742,376829661.16927505,256829659.84395057,84389457.52506573,240679039.614343,7351471.236408247,320842272.26732826,205128605.6061811,82497556.5670259,185508566.42473337,7498563.923416095,8994,I,06742,35672.92331191108,57.819240935360966,2.3371496126196964,25.712807724503428,-14.857479299326382,-20.13048425527759,-2.2418688465652172,Resto,-14.857479299326382,9.104312967330653,63.86945201381798,1.9508738281368738,1,0.5715867328579858,-15.429066032184368,-2.7669455580469586,0.06516690742042562
CAMPANA,Interior,126,5455134443.178591,3467996352.322644,965642933.2615696,44396076.34784303,3175589458.00816,5353751358.047687,3331973700.171729,1017406330.294568,32208009.21894661,3088760065.137758,110566,I,06126,48421.31720463512,0.6015970310337996,57.69337906391142,19.003615637943597,-1.8584892120794447,-3.922225929096359,5.360511142370363,Resto,-1.8584892120794447,11.613367906704086,0.8138401868969224,58.21285416675839,1,4.478030823987247,-6.336520036066692,-1.2217782778918502,0.061264559622462925
GENERAL LAVALLE,Interior,336,117491438.13686262,47888500.22057886,57286955.78057493,28622575.786853917,1381189.8887509468,115053299.92283028,45902122.95721118,56572633.17988585,30964682.966284607,1800334.3178818056,4870,I,06336,23624.907581689997,26.913337546209934,1.5647828607170278,49.17080450350474,-2.075162456682346,-4.14792122162573,-1.2469201600188684,Resto,-2.075162456682346,8.490849216076635,24.361414108755948,1.175566416288169,1,8.53646947747266,-10.611631934155007,-1.9336637839746418,0.05713787255172341
ADOLFO GONZALES CHAVES,Interior,014,389736875.75140744,251491505.954717,97813337.753639,231006275.43631336,12631680.4770418,333390903.18181515,195585327.63302216,99570696.87662388,170218977.7803492,14849274.858833548,12914,I,06014,25816.238437495365,51.056875324375625,4.4540132070536655,29.86605091091009,-14.457439384189144,-22.22984752883113,1.7966456961228594,Resto,-14.457439384189144,9.466067273186413,59.27236805368658,3.241079113360287,1,0.7774224550119779,-15.234861839201121,-2.7205168679570395,0.049919969359433686
CARLOS TEJEDOR,Interior,154,364797400.7200789,236267821.757863,90247106.08079916,207563306.9094017,8604096.409922251,425452711.80826914,283273401.5694206,97451763.80879168,260824303.56351736,9159705.728935644,14079,I,06154,30218.95815102416,61.3051218912099,2.152931565532829,22.905427819369137,16.62712260790835,19.89504091663013,7.983256240418536,Resto,16.62712260790835,9.552439604462528,56.898241736286906,2.358595865249725,1,1.1303869364661647,15.496735671442186,2.7614608282265594,0.044810108116071716
NECOCHEA,Interior,581,1760996907.887633,636775612.4559253,897629508.7169118,419354179.57314986,94994845.32547244,1611458579.0517242,487638126.34934235,899476929.1267816,255115135.4051674,102129081.25121106,102110,I,06581,15781.594153870572,15.831318205851243,6.337679576679517,55.81756433702975,-8.491686053854828,-23.420728305122648,0.205811015784288,Resto,-8.491686053854828,11.533805942549584,23.813453487330502,5.394378882778478,1,3.923269550194485,-12.414955604049313,-2.224171804572291,0.04003017352529558
PELLEGRINI,Interior,616,210029097.36721975,136704236.9038403,52111211.771348536,127978108.03864972,2830579.3117324044,236976315.7752381,153810742.3577271,59247631.97998817,143473398.9337625,3102873.7262826096,7143,I,06616,33176.02068811957,60.54334943321546,1.3093602692454518,25.00149932121572,12.83023102313448,12.5135151925977,13.694596548536486,Resto,12.83023102313448,8.873888135154973,60.933513328817405,1.347708173398162,1,1.468317575222514,11.361913447911967,2.033460018167439,0.03172191553795207
