Variable,P5,P10,P25,P50,P75,P90,P95
PBG2021,159762532.9177095,220987031.48216695,385415345.0951444,697447466.3771745,2237475724.562718,5411665149.096035,6209343152.913672
PBG2022,174831165.02388975,236291916.31037164,388275010.7779577,731654193.8666643,2384817015.029189,5624290283.003986,6596008586.852873
PBG_per_capita,10530.415160794637,11451.99253269416,14645.435013872959,18615.90970755035,22815.424503202856,30375.459051999194,33549.86551381086
Peso_Agro,1.5483822836607404e-4,0.0026965026421928023,0.8110312395707278,24.837562823891577,37.26563260859385,53.297857208272546,58.11522612242273
Peso_Industria,1.2713126159833774,2.0947239469350643,4.395546988214976,13.10458032286519,22.886879917844517,27.766564943795636,30.53641413323695
Peso_Servicios,24.56397880917738,27.466273742953504,32.7441370600131,40.128056366354095,48.97754516922255,53.453962896068774,56.495879955161186
Variacion_Bienes,-14.235260030294603,-6.494226337139783,-1.437447918013313,4.3794379384027025,9.72257900308859,14.726361178204588,18.20285773904099
Variacion_Servicios,-0.2294970300524668,1.7438462914612474,3.9731567986565928,5.360511142370363,7.078322394456173,9.053999468799539,10.875860875791252
Variacion_Total,-6.041454782792318,-2.4859117850867953,1.4520261020041523,4.663803174853648,8.131907794539671,11.56763581129,12.778438219848322
agro_2021,3900.1253181220654,144766.19982022146,18745516.85117539,93803148.48945738,230199506.73776108,364757417.6793562,463834372.25888616
agro_2022,3739.2143192756357,155444.48098702997,19793012.478946757,100430547.16718324,205054782.8320477,338488538.1847174,447415123.1189809
bienes_2021,70892068.84084186,92778505.63056394,186064270.8926674,327394129.2735075,800233931.07533,1734773138.064084,2412647436.942232
bienes_2022,82187121.42964217,101349352.03795612,188290557.14478463,333204571.01581985,859212142.884026,1838782105.4842515,2395466031.471792
industria_2021,2808965.339310758,5860167.565508775,19326479.876805127,94994845.32547244,487154365.56749904,1491878516.3434253,1790167445.3636618
industria_2022,2927345.553005873,5883930.004795242,21256933.636419065,98763631.49272132,511422104.9619505,1580681122.1827958,1896735866.379562
pbg_per_capita,10530.415160794637,11451.99253269416,14645.435013872959,18615.90970755035,22815.424503202856,30375.459051999194,33549.86551381086
poblacion,8835.300000000001,11003.2,17382.5,39425,120545.5,366202.80000000005,578388.2000000001
servicios_2021,61020163.63230037,77933865.42688036,126481484.94723465,266313082.25650173,869325693.3689289,2828935437.1535597,3103447679.3453646
servicios_2022,65301485.12279193,80224564.89622498,136161204.19694012,285877034.8326074,915204673.7174973,2949039163.280717,3272707947.10181
variacion_pbg,-6.041454782792318,-2.4859117850867953,1.4520261020041523,4.663803174853648,8.131907794539671,11.56763581129,12.778438219848322
